*** Booting Zephyr OS build v4.0.0-rc2 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.969,665] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.974,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,639] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,128] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,280] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,463] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,646] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,799] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.975,982] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,135] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,257] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.976,287] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.976,318] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.976,409] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,593] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,776] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.976,928] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,111] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.977,539] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.977,569] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.977,630] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.977,630] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.013,336] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.013,366] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.049,957] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.049,987] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.077,728] <dbg> bttester: cmd_handler: cmd service 4 opcode 4 index 0
[00:00:06.077,758] <wrn> bttester_mesh: Loading default comp data
[00:00:06.078,002] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.337,524] <dbg> bttester: tester_rsp_with_index: service 4 opcode 4 index 0 status 0
[00:00:06.411,041] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:12.632,080] <dbg> bttester: cmd_handler: cmd service 4 opcode 2 index 0
[00:00:12.632,110] <dbg> bttester_mesh: config_prov: 
[00:00:12.632,141] <dbg> bttester: tester_rsp_with_index: service 4 opcode 2 index 0 status 0
[00:00:12.680,053] <dbg> bttester: cmd_handler: cmd service 4 opcode 120 index 0
[00:00:12.680,114] <dbg> bttester_mesh: start: 
[00:00:12.680,206] <inf> bt_mesh_provisionee: Device UUID: a85881fb-1364-4195-a38a-44bc68bd782b
[00:00:12.680,358] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.680,511] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.681,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.681,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.681,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.681,884] <inf> bt_mesh_provisionee: Device UUID: a85881fb-1364-4195-a38a-44bc68bd782b
[00:00:12.681,915] <dbg> bttester: tester_rsp_with_index: service 4 opcode 120 index 0 status 0
[00:00:12.683,197] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.683,349] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.683,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.704,772] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.704,803] <dbg> bttester: tester_event: service 4 opcode 132
[00:00:12.741,455] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.741,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.741,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.799,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.799,743] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.799,926] <wrn> net_buf: Timeout discarded. No blocking in syswq
