*** Booting Zephyr OS build v4.0.0-3953-g35abb312849e ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.959,991] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.966,156] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.966,186] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.966,217] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.967,193] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.967,224] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.967,254] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.967,285] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.992,736] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.992,767] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.010,131] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,162] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.043,090] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.043,090] <wrn> bttester_mesh: Loading default comp data
[00:00:06.043,365] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.471,282] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.513,793] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.951,904] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.951,934] <dbg> bttester_mesh: config_prov: 
[00:00:11.951,965] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.994,476] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.994,506] <dbg> bttester_mesh: start: 
[00:00:11.994,598] <inf> bt_mesh_provisionee: Device UUID: df6b37c1-d923-41a7-957f-f1562648eee6
[00:00:11.996,215] <inf> bt_mesh_provisionee: Device UUID: df6b37c1-d923-41a7-957f-f1562648eee6
[00:00:11.996,246] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.084,014] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.084,045] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.417,236] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:14.424,652] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:14.424,682] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:16.674,041] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:16.674,072] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:17.361,907] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.361,938] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.365,509] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.365,539] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.467,498] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.467,529] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.470,825] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:17.470,855] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:17.813,049] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:17.813,079] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.929,016] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:17.929,046] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:17.932,647] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
