*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.876,861] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.883,239] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.883,270] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.883,300] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.884,185] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.884,307] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.884,338] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.884,368] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.884,399] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.910,278] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:05.942,382] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.942,413] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.970,092] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.038,116] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.038,146] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.096,435] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.153,686] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.153,686] <wrn> bttester_mesh: Loading default comp data
[00:00:06.153,961] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.582,489] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.602,813] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.849,578] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.849,609] <dbg> bttester_mesh: config_prov: 
[00:00:11.849,639] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.855,041] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.855,102] <dbg> bttester_mesh: start: 
[00:00:11.855,224] <inf> bt_mesh_provisionee: Device UUID: a0215c59-6506-4db1-affd-8c5d81df846c
[00:00:11.856,658] <inf> bt_mesh_provisionee: Device UUID: a0215c59-6506-4db1-affd-8c5d81df846c
