*** Booting Zephyr OS build v4.0.0-3538-g2a6e5902cc73 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.958,953] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.963,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,195] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,378] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,562] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,867] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,019] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,202] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,355] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,569] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,752] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,209] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.965,240] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.965,270] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.965,362] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,911] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,094] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,552] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.966,583] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.966,613] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.966,644] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.986,968] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.987,030] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.010,925] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,925] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.021,362] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.021,392] <wrn> bttester_mesh: Loading default comp data
[00:00:06.021,636] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.450,561] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.462,768] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.922,027] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.922,058] <dbg> bttester_mesh: config_prov: 
[00:00:11.922,088] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.952,911] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.952,941] <dbg> bttester_mesh: start: 
[00:00:11.953,033] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:11.953,155] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.953,338] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.954,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.954,193] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.954,528] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.954,833] <inf> bt_mesh_provisionee: Device UUID: 25dd047f-19da-40d0-80d5-81602b763c67
[00:00:11.954,864] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.955,596] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.956,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.956,390] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.956,573] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.956,878] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.957,122] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.957,397] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.957,580] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.957,763] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.958,160] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.958,404] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.973,266] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:11.973,297] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.019,012] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.019,195] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.019,470] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.075,561] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.075,744] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.075,988] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.130,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.130,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.130,889] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.131,042] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.131,347] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.131,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.131,866] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.132,049] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.132,232] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.132,415] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.132,690] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.600,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.600,128] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.600,372] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.600,555] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.600,769] <wrn> net_buf: Timeout discarded. No blocking in syswq
