*** Booting Zephyr OS build v4.0.0-2578-g6b65d60d49a0 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.977,966] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.982,055] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,208] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,391] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,727] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,910] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,062] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,215] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,734] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,917] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,100] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,191] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.984,222] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.984,252] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.984,344] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,527] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,710] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,290] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,504] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.985,534] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.985,565] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.985,595] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.025,878] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.025,939] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.064,117] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.064,117] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.107,666] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.107,696] <wrn> bttester_mesh: Loading default comp data
[00:00:06.107,971] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.539,123] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.563,110] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.988,250] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.988,281] <dbg> bttester_mesh: config_prov: 
[00:00:11.988,311] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.020,385] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.020,446] <dbg> bttester_mesh: start: 
[00:00:12.020,538] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:12.020,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.020,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.021,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.021,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.021,972] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.022,277] <inf> bt_mesh_provisionee: Device UUID: 4f76ee81-45a3-462b-bee9-ecb45c08f6c3
[00:00:12.022,308] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.023,071] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.023,620] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.023,834] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.024,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.024,322] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.024,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.024,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.025,024] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.025,238] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.025,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.025,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.047,882] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.047,912] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.083,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.083,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.083,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.135,681] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.135,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.136,108] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.188,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.189,117] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.189,361] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.189,514] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.189,819] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.190,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.190,338] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.190,521] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.190,704] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.190,887] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.191,192] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.231,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.232,055] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.232,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.232,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.232,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.233,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.233,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.287,628] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.287,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.287,994] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.288,208] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.288,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.335,571] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.335,693] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.335,968] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.336,151] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.336,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.336,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.337,005] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.340,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.341,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
