*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.975,646] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.980,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,194] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,560] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,743] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,895] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,384] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,597] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,781] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,147] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,269] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.982,299] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.982,330] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.982,421] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,971] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,154] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,398] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,612] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.983,642] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.983,673] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.983,703] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.048,858] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.048,889] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.091,949] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.091,979] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.135,284] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.135,314] <wrn> bttester_mesh: Loading default comp data
[00:00:06.135,589] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.572,235] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.602,355] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:14.990,173] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:14.990,234] <dbg> bttester_mesh: config_prov: 
[00:00:14.990,234] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:15.016,937] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:15.016,967] <dbg> bttester_mesh: start: 
[00:00:15.017,089] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:15.017,211] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.017,364] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.018,005] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.018,188] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.018,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.018,829] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:15.018,829] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:15.019,653] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.020,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.020,446] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.020,629] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.020,935] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,209] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.021,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.022,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.022,613] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.046,142] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:15.046,173] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:15.080,963] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.081,207] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.081,451] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.131,591] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.131,774] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.132,019] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.181,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.181,488] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.181,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.181,884] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.182,159] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.182,434] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.182,708] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.182,861] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.183,074] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.183,258] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.183,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.202,270] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.202,392] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.202,636] <wrn> net_buf: Timeout discarded. No blocking in syswq
