*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.959,808] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.964,202] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,385] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,538] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,721] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,874] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,057] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,209] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,362] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,064] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,247] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,339] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.966,369] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.966,400] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.966,491] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,674] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,857] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,041] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,437] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,651] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.967,681] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.967,712] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.967,742] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.983,001] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.983,032] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.030,273] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.030,303] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.089,691] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.089,691] <wrn> bttester_mesh: Loading default comp data
[00:00:06.089,965] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.518,737] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.590,301] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:13.975,311] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.975,341] <dbg> bttester_mesh: config_prov: 
[00:00:13.975,372] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:14.006,195] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:14.006,225] <dbg> bttester_mesh: start: 
[00:00:14.006,347] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:14.006,469] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.006,622] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.007,812] <wrn> net_buf: Timeout discarded. No blocking in syswq
