*** Booting Zephyr OS build v4.0.0-rc2-191-gdc2c13bebdba ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.998,413] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.002,471] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.002,655] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.002,807] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.002,990] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,173] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,326] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,662] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,814] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.003,997] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,180] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,516] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,638] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.004,669] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.004,699] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:06.004,791] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.004,974] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,126] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,310] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,706] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.005,920] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.005,950] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.005,981] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.006,011] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.076,354] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.076,385] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
