*** Booting Zephyr OS build v4.0.0-2762-g99a503e6613b ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:06.006,378] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,589] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,772] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,955] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,138] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,291] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,444] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,779] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.011,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,115] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,298] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,481] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,634] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.012,756] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.012,786] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.012,817] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.012,908] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,092] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,275] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,610] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.013,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.014,038] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.014,068] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.014,129] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.014,129] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.034,576] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.034,606] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.092,468] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.092,498] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.123,107] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.123,107] <wrn> bttester_mesh: Loading default comp data
[00:00:06.123,382] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.548,095] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.586,456] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:21.993,499] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:21.993,530] <dbg> bttester_mesh: config_prov: 
[00:00:21.993,560] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:22.004,455] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:22.004,486] <dbg> bttester_mesh: start: 
[00:00:22.004,608] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
[00:00:22.004,730] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.004,882] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.005,615] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.005,798] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.006,103] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.006,408] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
[00:00:22.006,439] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:22.007,171] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.007,751] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.007,965] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.008,148] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.008,453] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.008,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.008,972] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.009,155] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.009,368] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.009,735] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.009,979] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:22.050,598] <dbg> bttester_mesh: link_open: bearer 0x01
