*** Booting Zephyr OS build v3.7.0-4790-g6f64f7755796 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.986,724] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,907] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,091] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,487] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,640] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.987,976] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,159] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,342] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,525] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,708] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.988,891] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.989,013] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.989,044] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.989,074] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.989,166] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.989,349] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.989,532] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.989,715] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.989,898] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,142] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,356] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.990,386] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.990,417] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.032,623] <wrn> bttester_mesh: Loading default comp data
[00:00:06.032,867] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:14.816,589] <dbg> bttester_mesh: config_prov: 
[00:00:14.827,514] <dbg> bttester_mesh: start: 
[00:00:14.827,636] <inf> bt_mesh_provisionee: Device UUID: 96e33e36-408d-4f5c-bca5-2414bff76436
[00:00:14.827,758] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.827,941] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.828,674] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.828,887] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.829,162] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.829,467] <inf> bt_mesh_provisionee: Device UUID: 96e33e36-408d-4f5c-bca5-2414bff76436
[00:00:14.830,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.830,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.831,115] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.848,449] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.885,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.885,650] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.885,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.941,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.942,016] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.942,199] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,359] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,481] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,664] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,816] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.999,969] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,091] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,335] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,640] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,640] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,701] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.000,915] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.001,007] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.001,068] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.001,129] <wrn> net_buf: Timeout discarded. No blocking in syswq
