*** Booting Zephyr OS build v3.7.0-5411-g31fea97e05fd ***
[00:00:00.250,701] <dbg> bttester: tester_init: Initializing tester
[00:00:05.966,522] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,888] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,071] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,224] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,376] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,864] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,017] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,383] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,566] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,658] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.968,688] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.968,719] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.968,811] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.968,994] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,177] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,360] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,543] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,757] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.969,940] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.970,001] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.970,031] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.096,740] <wrn> bttester_mesh: Loading default comp data
[00:00:06.096,984] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:12.592,803] <dbg> bttester_mesh: config_prov: 
[00:00:12.603,729] <dbg> bttester_mesh: start: 
[00:00:12.603,851] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:12.603,973] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,156] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,797] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.604,980] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.605,255] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.605,560] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:12.606,811] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.606,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.607,147] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,428] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.664,764] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,444] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,536] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,627] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,719] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,841] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.718,963] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.719,146] <wrn> net_buf: Timeout discarded. No blocking in syswq
