*** Booting Zephyr OS build v4.0.0-1231-g6c7b38f5fa1c ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.979,431] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.983,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,551] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,222] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,405] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,710] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.984,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,534] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.985,565] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.985,595] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.985,687] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.985,870] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,053] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,206] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,389] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,633] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.986,816] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
