*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.390,258] <dbg> bttester: tester_init: Initializing tester
[00:00:11.705,596] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:11.709,930] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,449] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,601] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,784] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.710,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.711,090] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.711,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.711,486] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.711,639] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.711,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.712,005] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.712,127] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:11.712,158] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:11.712,188] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:11.712,280] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.712,493] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.712,677] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.712,860] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.713,043] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.713,287] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.713,470] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:11.713,531] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:11.713,562] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:11.713,592] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:11.719,604] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:11.719,635] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:11.780,853] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:11.780,883] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:11.859,924] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:11.859,954] <wrn> bttester_mesh: Loading default comp data
[00:00:11.860,229] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:12.297,393] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:12.356,658] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:30.709,136] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:30.709,167] <dbg> bttester_mesh: config_prov: 
[00:00:30.709,197] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:30.715,911] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:30.715,972] <dbg> bttester_mesh: start: 
[00:00:30.716,064] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:30.716,186] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.716,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.717,071] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.717,254] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.717,559] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.717,864] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:30.717,895] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:30.718,688] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.719,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.719,482] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.719,665] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.719,970] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.720,245] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.720,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.720,703] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.720,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.721,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.721,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.759,521] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:30.759,552] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:30.781,738] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.781,921] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.782,165] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.839,996] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.840,240] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:30.840,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.303,985] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:31.303,985] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:31.305,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.305,419] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.305,633] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.305,816] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.306,121] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.306,365] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.306,640] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.306,823] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.307,006] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.307,189] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:31.307,495] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.719,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.719,848] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.720,153] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.720,336] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.720,550] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.720,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.721,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.774,169] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.774,383] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.774,597] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.825,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.826,110] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.826,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.826,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:35.826,782] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.720,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.720,581] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.720,886] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.721,069] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.721,282] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.721,649] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.721,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.776,733] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.776,916] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.777,160] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.834,686] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.834,869] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.835,083] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.835,266] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:40.835,540] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.721,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.721,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.721,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.721,801] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.722,015] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.722,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.722,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.776,824] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.777,008] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.777,252] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.833,160] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.833,343] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.833,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.833,740] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:45.834,014] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.721,923] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.722,045] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:50.722,351] <wrn> net_buf: Timeout discarded. No blocking in syswq
