*** Booting Zephyr OS build v4.0.0-2838-g8316f097ce2a ***
[00:00:00.250,823] <dbg> bttester: tester_init: Initializing tester
[00:00:05.957,855] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.962,402] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,585] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,738] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,921] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,104] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,256] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,409] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,592] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,745] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,928] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,111] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,294] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,447] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,569] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.964,599] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.964,630] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.964,721] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,904] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,087] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,240] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,423] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,850] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.965,881] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.965,942] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.965,942] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.011,413] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.011,474] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.110,198] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.110,229] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.173,004] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.173,034] <wrn> bttester_mesh: Loading default comp data
[00:00:06.173,278] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.602,539] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.691,864] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:14.949,737] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:14.949,768] <dbg> bttester_mesh: config_prov: 
[00:00:14.949,798] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:14.987,304] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:14.987,335] <dbg> bttester_mesh: start: 
[00:00:14.987,457] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:14.987,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.987,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.988,311] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.988,494] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.988,800] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.989,105] <inf> bt_mesh_provisionee: Device UUID: 48ab71da-8e41-4ab8-a1ce-834b9a84c315
[00:00:14.989,135] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:14.989,898] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.990,447] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.990,661] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.990,844] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.991,149] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.991,394] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.991,668] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.991,851] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.992,065] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.992,614] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.992,858] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.012,756] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:15.012,786] <dbg> bttester: tester_event: service 0x04 opcode 0x84
