*** Booting Zephyr OS build v4.1.0-rc1-228-g5a2e6124a4c9 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.893,493] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.899,414] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.899,475] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.899,505] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 0
[00:00:05.900,451] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.900,482] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.900,512] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.900,543] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.962,707] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.962,738] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.989,227] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.989,257] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.031,768] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.031,799] <wrn> bttester_mesh: Loading default comp data
[00:00:06.032,043] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.462,829] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.500,640] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.500,671] <wrn> bt_ecc: Callback already registered
[00:00:08.870,452] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.870,483] <dbg> bttester_mesh: config_prov: 
[00:00:08.870,513] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.877,227] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.877,258] <dbg> bttester_mesh: start: 
[00:00:08.877,380] <inf> bt_mesh_provisionee: Device UUID: 74d7f3d0-5b4d-4820-840d-40e3d97d08b8
[00:00:08.878,997] <inf> bt_mesh_provisionee: Device UUID: 74d7f3d0-5b4d-4820-840d-40e3d97d08b8
[00:00:08.878,997] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:08.899,291] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:08.899,291] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:09.754,699] <dbg> bttester_mesh: input: action 0x0008 number 0x02
[00:00:09.754,730] <dbg> bttester: tester_event: service 0x04 opcode 0x82
[00:00:11.937,591] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x07 index 0x00
[00:00:11.937,622] <dbg> bttester_mesh: input_string: 
[00:00:11.937,713] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x07 index 0x00 status 0x00
[00:00:12.954,345] <inf> bt_mesh_main: Primary Element: 0x0026
[00:00:12.961,669] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0026
[00:00:12.961,669] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:14.686,523] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:14.686,584] <dbg> bttester: tester_event: service 0x04 opcode 0x85
