*** Booting Zephyr OS build v4.0.0-rc3-87-g1bf22569fc5e ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.954,376] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.958,435] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,770] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.958,984] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,136] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,289] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,442] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,625] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,777] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.959,960] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,144] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,296] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,479] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,601] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.960,632] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.960,662] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 0
[00:00:05.960,754] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,937] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,090] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,273] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,700] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,883] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.961,914] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.961,944] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.961,975] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:05.972,717] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:05.972,747] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.011,505] <dbg> bttester: cmd_handler: cmd service 0 opcode 3 index 255
[00:00:06.011,535] <dbg> bttester: tester_rsp_with_index: service 0 opcode 3 index 255 status 0
[00:00:06.064,392] <dbg> bttester: cmd_handler: cmd service 4 opcode 4 index 0
[00:00:06.064,392] <wrn> bttester_mesh: Loading default comp data
[00:00:06.064,636] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.335,327] <dbg> bttester: tester_rsp_with_index: service 4 opcode 4 index 0 status 0
[00:00:06.378,234] <dbg> bttester: cmd_handler: cmd service 1 opcode 3 index 0
[00:00:13.648,864] <dbg> bttester: cmd_handler: cmd service 4 opcode 2 index 0
[00:00:13.648,895] <dbg> bttester_mesh: config_prov: 
[00:00:13.648,925] <dbg> bttester: tester_rsp_with_index: service 4 opcode 2 index 0 status 0
[00:00:13.676,025] <dbg> bttester: cmd_handler: cmd service 4 opcode 120 index 0
[00:00:13.676,055] <dbg> bttester_mesh: start: 
[00:00:13.676,177] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:13.676,300] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.676,483] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.677,185] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.677,368] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.677,673] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.677,947] <inf> bt_mesh_provisionee: Device UUID: 952d734c-1f88-44a1-9848-770a5b2610b1
[00:00:13.677,978] <dbg> bttester: tester_rsp_with_index: service 4 opcode 120 index 0 status 0
[00:00:13.678,771] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.679,443] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.679,656] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.679,840] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,145] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,389] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,664] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.680,847] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.681,030] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.681,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.681,793] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.707,305] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.707,336] <dbg> bttester: tester_event: service 4 opcode 132
[00:00:13.731,506] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.731,689] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.731,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.785,308] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.785,491] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.785,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.834,747] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.834,899] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.835,113] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.835,296] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.835,601] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.835,845] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,120] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,303] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,486] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,669] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.836,975] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.883,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.883,819] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.884,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.884,246] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.884,460] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.884,796] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.885,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,535] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,749] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.942,932] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.943,237] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,339] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,461] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,736] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.979,919] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.980,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.980,438] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.980,712] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.984,558] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.984,710] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.984,924] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.985,107] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.985,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.164,489] <dbg> bttester_mesh: input: action 0x0004 number 0x01
[00:00:14.164,520] <dbg> bttester: tester_event: service 4 opcode 130
[00:00:14.185,607] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.185,699] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.186,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.186,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.186,614] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.187,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.187,377] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.242,797] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.242,980] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.243,164] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.243,347] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.243,652] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.559,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.559,692] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.559,967] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.560,150] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.560,363] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.560,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.561,035] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.612,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.612,731] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.612,945] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.613,159] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.613,433] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.699,951] <dbg> bttester: cmd_handler: cmd service 4 opcode 6 index 0
[00:00:14.700,012] <dbg> bttester_mesh: input_number: number 0x0005
[00:00:14.700,103] <dbg> bttester: tester_rsp_with_index: service 4 opcode 6 index 0 status 0
[00:00:14.737,213] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.737,304] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.737,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.737,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.737,976] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.738,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.738,677] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.742,218] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.742,370] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.742,584] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.742,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:14.743,072] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.008,575] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.008,666] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.008,941] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.009,124] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.009,338] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.009,765] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.010,040] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.063,934] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.064,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.064,300] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.064,483] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.064,788] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.100,891] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.100,982] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.101,257] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.101,440] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.101,654] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.102,020] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.102,264] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,292] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,445] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,658] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.106,842] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.107,147] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.150,238] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.150,329] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.150,604] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.150,787] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.151,000] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.151,367] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.151,611] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.155,456] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.155,639] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.155,822] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.156,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.156,311] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.366,088] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.366,302] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.366,638] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.366,821] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.367,034] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.367,523] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.367,767] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:15.421,661] <wrn> net_buf: Timeout discarded. No blocking in syswq
