*** Booting Zephyr OS build v4.1.0-rc2-177-g5efaf9d8c1f0 ***
[00:00:00.250,823] <dbg> bttester: tester_init: Initializing tester
[00:00:05.903,594] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.909,484] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.909,515] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.909,545] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 0
[00:00:05.910,522] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.910,552] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.910,583] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.910,614] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.927,734] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.927,764] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.980,895] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.980,926] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.016,693] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.016,723] <wrn> bttester_mesh: Loading default comp data
[00:00:06.017,028] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.473,907] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.512,878] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:06.512,878] <wrn> bt_ecc: Callback already registered
[00:00:13.978,790] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:13.978,820] <dbg> bttester_mesh: config_prov: 
[00:00:13.978,851] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:13.991,180] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:13.991,241] <dbg> bttester_mesh: start: 
[00:00:13.991,333] <inf> bt_mesh_provisionee: Device UUID: a5008dd7-d07a-4f5f-847e-2e995b13c9de
[00:00:13.992,980] <inf> bt_mesh_provisionee: Device UUID: a5008dd7-d07a-4f5f-847e-2e995b13c9de
[00:00:13.993,011] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:14.080,139] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:14.080,139] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:14.498,321] <dbg> bttester_mesh: input: action 0x0004 number 0x01
[00:00:14.498,352] <dbg> bttester: tester_event: service 0x04 opcode 0x82
[00:00:15.026,458] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x06 index 0x00
[00:00:15.026,489] <dbg> bttester_mesh: input_number: number 0x0001
[00:00:15.026,550] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x06 index 0x00 status 0x00
[00:00:16.116,973] <inf> bt_mesh_main: Primary Element: 0x0032
[00:00:16.126,068] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0032
[00:00:16.126,098] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:17.901,458] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:17.901,489] <dbg> bttester: tester_event: service 0x04 opcode 0x85
