*** Booting Zephyr OS build v3.7.0-5411-g31fea97e05fd ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.971,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,374] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,740] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.971,893] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,076] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,229] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,381] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,534] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,717] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.972,900] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,052] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,236] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,358] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.973,388] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.973,419] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.973,510] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,693] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.973,846] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,029] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,212] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,426] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.974,639] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.974,670] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.974,700] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.079,864] <wrn> bttester_mesh: Loading default comp data
[00:00:06.080,108] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:12.633,392] <dbg> bttester_mesh: config_prov: 
[00:00:12.665,313] <dbg> bttester_mesh: start: 
[00:00:12.665,435] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:12.665,557] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.665,710] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.666,412] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.666,595] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.666,870] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.667,175] <inf> bt_mesh_provisionee: Device UUID: 0fb9bb61-c6b6-403c-bff5-d085a3a8ffe3
[00:00:12.668,426] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,579] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.668,762] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.685,272] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.725,036] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.725,158] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.725,341] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.777,618] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.777,770] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.777,954] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.825,897] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.825,988] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,080] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,171] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,263] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,446] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,599] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,690] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.826,812] <wrn> net_buf: Timeout discarded. No blocking in syswq
