*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.901,153] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.907,226] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.907,257] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.907,287] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.908,233] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.908,264] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.908,294] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.908,325] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.943,725] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.943,756] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.996,948] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.996,978] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.028,900] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.028,900] <wrn> bttester_mesh: Loading default comp data
[00:00:06.029,174] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.455,993] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.479,339] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:17.894,744] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:17.894,805] <dbg> bttester_mesh: config_prov: 
[00:00:17.894,805] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:17.906,951] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:17.907,012] <dbg> bttester_mesh: start: 
[00:00:17.907,104] <inf> bt_mesh_provisionee: Device UUID: 35d2fa06-8cd6-4f96-a7af-2a6aea232d4d
[00:00:17.908,630] <inf> bt_mesh_provisionee: Device UUID: 35d2fa06-8cd6-4f96-a7af-2a6aea232d4d
[00:00:17.908,660] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:17.954,711] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x03 index 0x00
[00:00:17.954,742] <dbg> bttester_mesh: provision_node: 
[00:00:17.954,803] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:17.961,730] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:17.961,761] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:17.962,158] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x03 index 0x00 status 0x00
[00:00:18.050,811] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x4a index 0x00
[00:00:18.050,872] <dbg> bttester_mesh: provision_adv: 
[00:00:18.050,964] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x4a index 0x00 status 0x00
[00:00:18.644,592] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:18.644,592] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:18.909,942] <dbg> bttester_mesh: output_string: str 5M1A6U64
[00:00:18.909,973] <dbg> bttester: tester_event: service 0x04 opcode 0x81
[00:00:21.769,714] <dbg> bttester_mesh: prov_node_added: net_idx 0x0000 addr 0x0001 num_elem 1
[00:00:21.769,744] <dbg> bttester: tester_event: service 0x04 opcode 0x8e
[00:00:22.206,115] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:22.206,146] <dbg> bttester: tester_event: service 0x04 opcode 0x85
