*** Booting Zephyr OS build v4.0.0-4398-gf19e5bc577e2 ***
[00:00:00.390,228] <dbg> bttester: tester_init: Initializing tester
[00:00:35.920,349] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:35.926,361] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:35.926,391] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:35.926,422] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:35.927,368] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:35.927,398] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:35.927,429] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:35.927,459] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:35.978,729] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:35.978,759] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:36.001,312] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:36.001,342] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:36.049,285] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:36.049,316] <wrn> bttester_mesh: Loading default comp data
[00:00:36.049,560] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:36.480,682] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:36.509,857] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:49.877,716] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:49.877,746] <dbg> bttester_mesh: config_prov: 
[00:00:49.877,777] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:49.931,121] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:49.931,152] <dbg> bttester_mesh: start: 
[00:00:49.931,274] <inf> bt_mesh_provisionee: Device UUID: aa2e6191-c24f-4656-bd1e-f0ed16c12384
[00:00:49.932,922] <inf> bt_mesh_provisionee: Device UUID: aa2e6191-c24f-4656-bd1e-f0ed16c12384
[00:00:49.932,922] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:49.978,668] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x03 index 0x00
[00:00:49.978,668] <dbg> bttester_mesh: provision_node: 
[00:00:49.978,729] <inf> bt_mesh_main: Primary Element: 0x0003
[00:00:49.986,114] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0003
[00:00:49.986,114] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:49.986,511] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x03 index 0x00 status 0x00
[00:00:50.145,446] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x4a index 0x00
[00:00:50.145,507] <dbg> bttester_mesh: provision_adv: 
[00:00:50.145,599] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x4a index 0x00 status 0x00
[00:00:50.742,919] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:50.742,919] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:50.991,729] <dbg> bttester_mesh: output_string: str PZVVXPKX
[00:00:50.991,729] <dbg> bttester: tester_event: service 0x04 opcode 0x81
[00:00:53.445,373] <dbg> bttester_mesh: prov_node_added: net_idx 0x0000 addr 0x0001 num_elem 1
[00:00:53.445,404] <dbg> bttester: tester_event: service 0x04 opcode 0x8e
[00:00:53.886,016] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:53.886,016] <dbg> bttester: tester_event: service 0x04 opcode 0x85
