*** Booting Zephyr OS build v4.0.0-2762-g99a503e6613b ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:06.002,807] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.006,988] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,507] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,690] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.007,995] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,178] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,331] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,514] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,697] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.008,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,033] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,155] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.009,185] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.009,216] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:06.009,307] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,490] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,643] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.009,826] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,009] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,253] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.010,437] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.010,467] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.010,498] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.010,528] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.033,477] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.033,508] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.036,346] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.036,376] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.051,971] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.052,001] <wrn> bttester_mesh: Loading default comp data
[00:00:06.052,276] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.477,203] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.505,187] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:08.974,304] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:08.974,334] <dbg> bttester_mesh: config_prov: 
[00:00:08.974,365] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:08.999,511] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:08.999,542] <dbg> bttester_mesh: start: 
[00:00:08.999,664] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
[00:00:08.999,786] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:08.999,969] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.000,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.000,732] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.001,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.001,312] <inf> bt_mesh_provisionee: Device UUID: e69c22af-d260-476a-8101-326b274ca3e6
[00:00:09.001,342] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:09.002,105] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.002,685] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.002,899] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.003,082] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.003,387] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.003,631] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.003,906] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.004,089] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.004,302] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.004,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.005,004] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:09.032,562] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:09.032,592] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:09.058,837] <wrn> net_buf: Timeout discarded. No blocking in syswq
