*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.986,358] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.990,570] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,722] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.990,905] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,088] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,271] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,424] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,577] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,760] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.991,912] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,126] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,309] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,492] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,645] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.992,797] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.992,828] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.992,858] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.992,950] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,316] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,499] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,682] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.993,927] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.994,140] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.994,171] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.994,201] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.994,232] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.044,738] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.044,769] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.077,911] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.077,941] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.119,750] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.119,750] <wrn> bttester_mesh: Loading default comp data
[00:00:06.120,025] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.556,671] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.601,989] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.959,289] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.959,320] <dbg> bttester_mesh: config_prov: 
[00:00:12.959,350] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.964,752] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.964,782] <dbg> bttester_mesh: start: 
[00:00:12.964,904] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:12.965,026] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.965,209] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.965,850] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.966,033] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.966,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.966,674] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:12.966,705] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.967,498] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.968,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.968,292] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.968,475] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.968,780] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.969,055] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.969,329] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.969,512] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.969,726] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.970,214] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.970,458] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.010,620] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:13.010,650] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:13.022,918] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.023,101] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.023,345] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.072,723] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.072,906] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.073,150] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.124,176] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.124,328] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.124,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.124,755] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.125,030] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.125,305] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.125,549] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.125,732] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:13.125,946] <wrn> net_buf: Timeout discarded. No blocking in syswq
