*** Booting Zephyr OS build v3.7.0-4339-g1ec5ce05f9f8 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.980,133] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,346] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,743] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.980,895] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,079] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,231] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,414] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,597] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,750] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.981,933] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,116] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,299] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,421] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.982,452] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.982,482] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:05.982,574] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,757] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.982,940] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,123] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,306] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,551] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.983,764] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.983,795] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.983,825] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.135,498] <wrn> bttester_mesh: Loading default comp data
[00:00:06.135,742] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:20.450,531] <dbg> bttester_mesh: config_prov: 
[00:00:20.477,325] <dbg> bttester_mesh: start: 
[00:00:20.477,416] <inf> bt_mesh_provisionee: Device UUID: 42c0cfcb-8e14-4bb1-afea-37a503baba31
[00:00:20.477,539] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.477,722] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.478,454] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.478,637] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.478,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.479,217] <inf> bt_mesh_provisionee: Device UUID: 42c0cfcb-8e14-4bb1-afea-37a503baba31
[00:00:20.480,529] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.480,682] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.480,895] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:20.509,216] <dbg> bttester_mesh: link_open: bearer 0x01
