*** Booting Zephyr OS build v3.7.0-5411-g31fea97e05fd ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.998,382] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.998,565] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.998,748] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.998,931] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,084] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,237] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,389] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,572] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,725] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.999,877] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,061] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,244] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,427] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,518] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:06.000,549] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:06.000,579] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 3.7 Build 99
[00:00:06.000,671] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.000,854] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,037] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,220] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,403] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,617] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:06.001,800] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:06.001,861] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:06.001,892] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:06.128,570] <wrn> bttester_mesh: Loading default comp data
[00:00:06.128,814] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:12.637,420] <dbg> bttester_mesh: config_prov: 
[00:00:12.674,316] <dbg> bttester_mesh: start: 
[00:00:12.674,438] <inf> bt_mesh_provisionee: Device UUID: a5b17fc1-a149-4321-85c7-8b644d395ac8
[00:00:12.674,560] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.674,713] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.675,506] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.675,689] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.675,964] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.676,269] <inf> bt_mesh_provisionee: Device UUID: a5b17fc1-a149-4321-85c7-8b644d395ac8
[00:00:12.677,520] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.677,673] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.677,856] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.694,458] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.729,400] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.729,522] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.729,705] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.785,980] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.786,132] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.786,315] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.846,191] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.846,313] <wrn> net_buf: Timeout discarded. No blocking in syswq
