*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.959,411] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.963,623] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,806] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,958] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,141] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,324] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,477] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,660] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,813] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.964,965] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,179] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,362] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,545] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,728] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.965,850] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.965,881] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.965,911] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.966,003] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,186] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,369] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,552] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.966,766] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,010] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.967,193] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.967,224] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.967,254] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.967,285] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.991,516] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.991,546] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.013,885] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.013,916] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.062,896] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.062,896] <wrn> bttester_mesh: Loading default comp data
[00:00:06.063,171] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.499,847] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.528,320] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.944,091] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.944,122] <dbg> bttester_mesh: config_prov: 
[00:00:11.944,152] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.990,783] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.990,814] <dbg> bttester_mesh: start: 
[00:00:11.990,936] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:11.991,058] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.991,210] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.991,912] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.992,095] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.992,401] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.992,736] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:11.992,736] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.993,499] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.994,110] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.994,323] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.994,506] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.994,812] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.995,056] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.995,330] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.995,544] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.995,758] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.996,063] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.996,307] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.019,836] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.019,866] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:12.049,926] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.050,109] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.050,354] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.103,454] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.103,637] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.103,881] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.157,714] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.157,897] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.158,111] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.158,294] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.158,569] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.158,843] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.159,118] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.159,271] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.159,484] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.159,667] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.159,942] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.183,654] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.183,837] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,204] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,387] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.184,600] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.185,058] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.185,333] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.233,856] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:12.234,039] <wrn> net_buf: Timeout discarded. No blocking in syswq
