*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,762] <dbg> bttester: tester_init: Initializing tester
[00:00:05.905,883] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.912,017] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.912,048] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.912,078] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.912,963] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.913,055] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.913,085] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.913,116] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.913,146] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.958,953] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:06.010,955] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.010,986] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.069,488] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.137,237] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.137,268] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.199,676] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.242,340] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.242,370] <wrn> bttester_mesh: Loading default comp data
[00:00:06.242,614] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.670,867] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.728,210] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.896,362] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.896,392] <dbg> bttester_mesh: config_prov: 
[00:00:12.896,423] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.928,558] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.928,588] <dbg> bttester_mesh: start: 
[00:00:12.928,710] <inf> bt_mesh_provisionee: Device UUID: a0215c59-6506-4db1-affd-8c5d81df846c
[00:00:12.930,358] <inf> bt_mesh_provisionee: Device UUID: a0215c59-6506-4db1-affd-8c5d81df846c
[00:00:12.930,358] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.947,509] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.947,540] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:16.115,264] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:16.122,711] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:16.122,741] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:17.861,907] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:17.861,938] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:18.548,919] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.548,919] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.552,307] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.552,337] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:18.639,038] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.639,038] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.642,639] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.642,669] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:19.002,166] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:19.002,197] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.101,745] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:19.101,745] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:19.105,133] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:19.105,163] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
