*** Booting Zephyr OS build v4.0.0-3179-gcbf867ff2cc8 ***
[00:00:00.250,793] <dbg> bttester: tester_init: Initializing tester
[00:00:05.955,596] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.960,021] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,205] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,388] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,571] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,723] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.960,906] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,059] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,212] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,395] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,578] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,761] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.961,944] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,127] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,249] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.962,280] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.962,310] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.0 Build 99
[00:00:05.962,402] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,615] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,768] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.962,982] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,165] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,409] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:05.963,592] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.963,623] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.963,653] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.963,684] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.992,675] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.992,706] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.034,790] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.034,820] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.044,158] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.044,189] <wrn> bttester_mesh: Loading default comp data
[00:00:06.044,464] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.481,292] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.519,897] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:11.935,150] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:11.935,180] <dbg> bttester_mesh: config_prov: 
[00:00:11.935,211] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:11.981,811] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:11.981,842] <dbg> bttester_mesh: start: 
[00:00:11.981,964] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:11.982,086] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.982,269] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.982,818] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.983,001] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.983,306] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.983,642] <inf> bt_mesh_provisionee: Device UUID: 48aba2fd-8975-43d5-bfb3-5de85e2f13e2
[00:00:11.983,673] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:11.984,436] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.985,046] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.985,260] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.985,443] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.985,748] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.985,992] <wrn> net_buf: Timeout discarded. No blocking in syswq
[00:00:11.986,267] <wrn> net_buf: Timeout discarded. No blocking in syswq
