*** Booting Zephyr OS build 4.1.99 ***
[00:00:00.250,732] <dbg> bttester: tester_init: Initializing tester
[00:00:05.882,080] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.888,397] <inf> bt_hci_core: HW Platform: Nordic Semiconductor (0x0002)
[00:00:05.888,427] <inf> bt_hci_core: HW Variant: nRF52x (0x0002)
[00:00:05.888,458] <inf> bt_hci_core: Firmware: Standard Bluetooth controller (0x00) Version 4.1 Build 99
[00:00:05.889,343] <inf> bt_hci_core: HCI transport: Controller
[00:00:05.889,434] <inf> bt_hci_core: Identity: DC:E7:76:C4:1F:70 (random)
[00:00:05.889,495] <inf> bt_hci_core: HCI: version 5.4 (0x0d) revision 0x0000, manufacturer 0x05f1
[00:00:05.889,526] <inf> bt_hci_core: LMP: version 5.4 (0x0d) subver 0xffff
[00:00:05.889,526] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.935,150] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x01 index 0xff
[00:00:05.972,625] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:05.972,656] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:05.993,835] <dbg> bttester: cmd_handler: cmd service 0x02 opcode 0x01 index 0xff
[00:00:06.041,687] <dbg> bttester: cmd_handler: cmd service 0x00 opcode 0x03 index 0xff
[00:00:06.041,717] <dbg> bttester: tester_rsp_with_index: service 0x00 opcode 0x03 index 0xff status 0x00
[00:00:06.094,757] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x01 index 0xff
[00:00:06.148,101] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x04 index 0x00
[00:00:06.148,101] <wrn> bttester_mesh: Loading default comp data
[00:00:06.148,376] <wrn> bt_mesh_access: Unused space in relation list: 2
[00:00:06.576,324] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x04 index 0x00 status 0x00
[00:00:06.630,035] <dbg> bttester: cmd_handler: cmd service 0x01 opcode 0x03 index 0x00
[00:00:12.843,048] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x02 index 0x00
[00:00:12.843,078] <dbg> bttester_mesh: config_prov: 
[00:00:12.843,109] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x02 index 0x00 status 0x00
[00:00:12.881,683] <dbg> bttester: cmd_handler: cmd service 0x04 opcode 0x78 index 0x00
[00:00:12.881,744] <dbg> bttester_mesh: start: 
[00:00:12.881,835] <inf> bt_mesh_provisionee: Device UUID: 697e6322-3da3-453f-98ec-a88817151bba
[00:00:12.883,361] <inf> bt_mesh_provisionee: Device UUID: 697e6322-3da3-453f-98ec-a88817151bba
[00:00:12.883,392] <dbg> bttester: tester_rsp_with_index: service 0x04 opcode 0x78 index 0x00 status 0x00
[00:00:12.907,623] <dbg> bttester_mesh: link_open: bearer 0x01
[00:00:12.907,653] <dbg> bttester: tester_event: service 0x04 opcode 0x84
[00:00:15.928,222] <inf> bt_mesh_main: Primary Element: 0x0002
[00:00:15.935,699] <dbg> bttester_mesh: prov_complete: net_idx 0x0000 addr 0x0002
[00:00:15.935,699] <dbg> bttester: tester_event: service 0x04 opcode 0x83
[00:00:17.623,352] <dbg> bttester_mesh: link_close: bearer 0x01
[00:00:17.623,382] <dbg> bttester: tester_event: service 0x04 opcode 0x85
[00:00:18.344,696] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.344,696] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.348,083] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.348,114] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:18.451,385] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.451,416] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.455,078] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.455,078] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:18.796,966] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:18.796,997] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.964,782] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 15
[00:00:18.964,813] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:18.968,261] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 3
[00:00:18.968,261] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:19.497,344] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:19.497,375] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.636,810] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:20.636,840] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.640,136] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:20.640,167] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:20.727,935] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 14
[00:00:20.727,935] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.731,323] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 2
[00:00:20.731,323] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:20.833,709] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:20.833,740] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.890,350] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 16
[00:00:20.890,380] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.928,680] <dbg> bttester_mesh: net_recv_ev: ttl 0x03 ctl 0x00 src 0x0001 dst 0x0002 payload_len 10
[00:00:20.928,710] <dbg> bttester: tester_event: service 0x04 opcode 0x86
[00:00:20.931,732] <dbg> bttester_mesh: model_recv_ev: src 0x0001 dst 0x0002 payload_len 22
[00:00:20.931,762] <dbg> bttester: tester_event: service 0x04 opcode 0x8f
[00:00:26.108,795] <dbg> bttester_mesh: net_recv_ev: ttl 0x07 ctl 0x01 src 0x0001 dst 0x0002 payload_len 7
[00:00:26.108,856] <dbg> bttester: tester_event: service 0x04 opcode 0x86
